,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
49,49,-9.568821999999997,2024-04-16 07:29:51.587831,2024-04-16 07:44:52.142357,0 days 00:15:00.554526,relu,64,0.1,5.7449834906330064e-05,0.98,0.95,0.08006453899827322,-1.883407794835157,0.3,1,32,medium,128,0.8935485041642464,PRUNED
50,50,,2024-04-16 07:29:58.257990,2024-04-16 07:31:48.065002,0 days 00:01:49.807012,tanh,32,0.3,0.07030122119858719,0.98,0.99,0.7078517962019413,-2.5504497788602767,0.9,1,2048,small,256,0.5789119125985545,PRUNED
51,51,52.1931745,2024-04-16 07:30:26.132433,2024-04-16 07:46:47.403390,0 days 00:16:21.270957,tanh,256,0.2,0.0006308408110656023,0.92,0.995,0.046529840139633676,-0.3305015582984714,5.0,20,512,small,256,0.732576715381401,COMPLETE
52,52,31.5747462,2024-04-16 07:30:47.759275,2024-04-16 07:45:02.924703,0 days 00:14:15.165428,tanh,32,0.2,0.00015444797126729117,0.98,0.995,0.06983742940970823,-2.1319957663431146,0.5,1,32,medium,64,0.8175884963278671,PRUNED
53,53,7.060088500000001,2024-04-16 07:31:35.652203,2024-04-16 07:47:36.727061,0 days 00:16:01.074858,relu,16,0.1,0.005332209928586735,0.8,0.95,0.05509580993367125,-2.12620776509805,2.0,1,32,medium,256,0.8728587629755278,PRUNED
54,54,17.799364599999997,2024-04-16 07:31:48.065999,2024-04-16 07:52:56.468925,0 days 00:21:08.402926,tanh,32,0.1,0.002677865606510225,0.92,0.99,0.14617751362668863,0.24246980159472964,1.0,5,1024,medium,256,0.16554765863106555,PRUNED
55,55,-14.446039500000001,2024-04-16 07:35:55.953371,2024-04-16 07:49:13.175086,0 days 00:13:17.221715,tanh,64,0.1,0.00020319557265306067,0.92,0.999,0.19200434463339378,-1.2027874546918755,0.7,1,32,tiny,16,0.8662407153384443,PRUNED
56,56,3.756266299999999,2024-04-16 07:36:18.485104,2024-04-16 08:21:39.747230,0 days 00:45:21.262126,relu,64,0.1,1.2347015903505537e-05,0.99,0.9999,0.045919095479021406,-1.3696883432815128,0.7,20,32,medium,16,0.7954746692364164,PRUNED
57,57,10.1909032,2024-04-16 07:44:19.632313,2024-04-16 07:58:51.211627,0 days 00:14:31.579314,relu,64,0.1,4.19786788740716e-06,0.95,0.95,0.3135075160000003,-0.483915284484116,5.0,1,32,medium,-1,0.637333799247916,PRUNED
58,58,2.0778821,2024-04-16 07:44:52.143354,2024-04-16 08:04:07.183103,0 days 00:19:15.039749,relu,8,0.1,0.0009714482862061009,0.92,0.9,0.24073398556021178,-0.9880622778973096,0.8,1,32,medium,16,0.5171597877934856,PRUNED
59,59,-0.7328624999999999,2024-04-16 07:45:02.925701,2024-04-16 08:03:46.658960,0 days 00:18:43.733259,relu,64,0.1,0.0008590411804920184,0.92,0.999,0.28473129933824476,-0.611242540186133,0.6,1,8,medium,16,0.6481871420616551,PRUNED
60,60,3.7524264,2024-04-16 07:46:47.403390,2024-04-16 07:59:41.893066,0 days 00:12:54.489676,relu,64,0.1,1.100680842024551e-05,0.92,0.999,0.12298868773527506,-2.055894144852612,5.0,1,256,medium,16,0.6681672752690091,PRUNED
61,61,86.93150879999999,2024-04-16 07:47:36.728058,2024-04-16 08:01:02.570775,0 days 00:13:25.842717,tanh,32,0.3,0.0017565574187673252,0.98,0.995,0.09605929636187636,-2.3814627942803224,0.5,1,512,small,128,0.9562641267738692,COMPLETE
62,62,,2024-04-16 07:49:13.177080,2024-04-16 07:53:10.538442,0 days 00:03:57.361362,relu,8,0.1,9.492770751474085e-06,1.0,0.999,0.6111767888554384,0.49427009403546274,0.7,1,32,medium,16,0.6456578500852017,PRUNED
63,63,59.9312897,2024-04-16 07:52:56.469922,2024-04-16 08:06:58.512694,0 days 00:14:02.042772,relu,64,0.1,0.0008210112723942287,0.92,0.9,0.08674504345384626,-0.7806548524059811,0.7,1,32,medium,8,0.5967417994761142,COMPLETE
64,64,-17.3187225,2024-04-16 07:53:10.539439,2024-04-16 08:06:45.827767,0 days 00:13:35.288328,tanh,32,0.2,0.001004434972605452,0.99,0.995,0.6969180874247698,-0.6522521816982321,2.0,1,1024,small,256,0.7788976655575447,PRUNED
