,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
60,60,105.8788334,2024-04-15 04:23:25.898382,2024-04-15 05:23:46.655814,0 days 01:00:20.757432,32,100000,0.95,3.222329824182578e-05,0,0.3452815380151566,big,0.05,8,PRUNED
61,61,135.8725916,2024-04-15 04:28:34.907427,2024-04-15 05:41:31.907201,0 days 01:12:56.999774,128,1000000,0.9999,1.9513754916171815e-05,0,0.4507816099188068,big,0.02,1,COMPLETE
62,62,95.82607800000001,2024-04-15 04:53:10.519280,2024-04-15 05:30:06.148807,0 days 00:36:55.629527,32,1000000,0.95,0.00015404985865133145,20000,-0.05583586546923669,big,0.005,8,PRUNED
63,63,136.7381163,2024-04-15 05:00:44.519007,2024-04-15 05:51:38.705312,0 days 00:50:54.186305,32,1000000,0.999,0.00838505236129021,10000,-1.9390695533373945,medium,0.02,32,COMPLETE
64,64,150.4709929,2024-04-15 05:03:23.004247,2024-04-15 05:48:35.269808,0 days 00:45:12.265561,128,1000000,0.95,1.662141248116207e-05,20000,-1.5580712693609626,big,0.02,8,COMPLETE
65,65,100.4296306,2024-04-15 05:11:27.973896,2024-04-15 06:23:10.334073,0 days 01:11:42.360177,2048,100000,0.9,0.017930579449325374,20000,-2.3931324236360068,medium,0.01,32,PRUNED
66,66,136.12354090000002,2024-04-15 05:18:16.746707,2024-04-15 06:19:04.620747,0 days 01:00:47.874040,32,1000000,0.95,1.3166299184353628e-05,0,-2.4294753188038336,big,0.02,8,COMPLETE
67,67,158.5603992,2024-04-15 05:23:46.657809,2024-04-15 06:14:06.473220,0 days 00:50:19.815411,32,1000000,0.95,3.508327310366994e-05,10000,-0.4694094338368919,big,0.02,4,COMPLETE
68,68,116.50430639999999,2024-04-15 05:29:41.567556,2024-04-15 06:31:29.035086,0 days 01:01:47.467530,16,1000000,0.9,0.017334635744162535,1000,-2.0560492182214,medium,0.01,32,PRUNED
69,69,,2024-04-15 05:30:06.150802,2024-04-15 05:32:03.923904,0 days 00:01:57.773102,1024,10000,0.9,0.07063028290436783,10000,-2.375078624533212,medium,0.01,32,PRUNED
70,70,105.46491680000001,2024-04-15 05:32:03.924901,2024-04-15 06:14:40.518157,0 days 00:42:36.593256,1024,100000,0.9,0.0037753282664831057,20000,-2.424782651349936,small,0.01,32,PRUNED
71,71,139.1031375,2024-04-15 05:41:31.909195,2024-04-15 06:23:18.002623,0 days 00:41:46.093428,128,100000,0.9,0.0020066617330755723,20000,-1.8563600557185709,medium,0.01,64,COMPLETE
72,72,113.83774950000002,2024-04-15 05:48:35.271802,2024-04-15 06:33:34.169016,0 days 00:44:58.897214,128,1000000,0.99,3.5464909433215466e-05,20000,-1.9858701298906691,big,0.02,256,PRUNED
73,73,148.7334791,2024-04-15 05:51:38.706310,2024-04-15 07:03:30.152845,0 days 01:11:51.446535,128,1000000,0.999,1.638089923501421e-05,0,0.6242926324817373,big,0.005,64,COMPLETE
74,74,123.31453810000001,2024-04-15 06:14:06.474217,2024-04-15 06:57:15.886605,0 days 00:43:09.412388,128,1000000,0.95,1.8833151222792593e-05,20000,-1.7397287093236664,big,0.02,512,PRUNED
75,75,134.757238,2024-04-15 06:14:40.520152,2024-04-15 06:58:07.651204,0 days 00:43:27.131052,128,1000000,0.95,1.1731093098352363e-05,20000,-2.1836567921086774,big,0.02,256,COMPLETE
76,76,112.23421950000002,2024-04-15 06:19:04.622742,2024-04-15 07:06:41.219512,0 days 00:47:36.596770,32,1000000,0.98,6.901467087845246e-05,10000,0.6195005362941746,big,0.02,4,PRUNED
77,77,141.20868439999998,2024-04-15 06:23:10.335071,2024-04-15 07:06:06.873265,0 days 00:42:56.538194,128,1000000,0.95,3.494590171459626e-05,20000,-1.7699727922372308,big,0.02,512,COMPLETE
78,78,141.5489074,2024-04-15 06:23:18.005615,2024-04-15 07:01:01.414619,0 days 00:37:43.409004,128,100000,0.9,0.00015614566756574889,20000,-2.103388961479858,medium,0.01,64,COMPLETE
79,79,149.19568429999998,2024-04-15 06:31:29.036084,2024-04-15 07:19:27.707940,0 days 00:47:58.671856,32,1000000,0.995,9.386380038749046e-05,10000,-1.717944144652911,big,0.08,4,COMPLETE
80,80,112.44047040000001,2024-04-15 06:33:34.170014,2024-04-15 07:36:42.351810,0 days 01:03:08.181796,128,100000,0.95,0.0030549978206731066,1000,-2.795247654690478,medium,0.01,64,PRUNED
81,81,117.98479010000001,2024-04-15 06:57:15.887602,2024-04-15 07:44:08.490220,0 days 00:46:52.602618,32,1000000,0.95,7.93772064431612e-05,10000,-1.0892024313491226,big,0.001,64,PRUNED
82,82,86.0406918,2024-04-15 06:58:07.652201,2024-04-15 07:47:19.350673,0 days 00:49:11.698472,32,1000000,0.995,7.725654686616938e-05,10000,-1.0878731556605645,big,0.02,4,PRUNED
83,83,161.4746273,2024-04-15 07:01:01.415617,2024-04-15 07:48:12.859760,0 days 00:47:11.444143,32,1000000,0.95,4.538829137648965e-05,10000,-0.3991226205726439,big,0.01,4,COMPLETE
84,84,153.5026857,2024-04-15 07:03:30.154840,2024-04-15 08:30:21.075506,0 days 01:26:50.920666,512,1000000,0.999,3.662615929347543e-05,0,0.6770111869723805,big,0.005,256,COMPLETE
85,85,129.58251490000004,2024-04-15 07:06:06.874263,2024-04-15 08:17:30.592271,0 days 01:11:23.718008,128,1000000,0.98,6.482890334062432e-05,1000,0.45682199486098213,big,0.005,64,PRUNED
86,86,163.81623210000004,2024-04-15 07:06:41.219512,2024-04-15 08:03:14.334206,0 days 00:56:33.114694,32,1000000,0.9999,1.8174507771645913e-05,0,0.04806644376868485,big,0.005,64,COMPLETE
87,87,94.64507799999998,2024-04-15 07:19:27.708937,2024-04-15 08:44:13.996613,0 days 01:24:46.287676,512,1000000,0.999,0.00019056572002736766,0,0.622499858158547,big,0.005,64,PRUNED
88,88,134.1971944,2024-04-15 07:36:42.352807,2024-04-15 08:27:30.474419,0 days 00:50:48.121612,32,1000000,0.995,0.00019199518582306682,10000,-1.5886592389241223,big,0.001,4,PRUNED
89,89,67.5542083,2024-04-15 07:44:08.491218,2024-04-15 08:55:21.543123,0 days 01:11:13.051905,128,1000000,0.999,3.9957680497471886e-05,0,0.5118151036550278,big,0.005,64,PRUNED
90,90,111.754899,2024-04-15 07:47:19.351670,2024-04-15 08:25:37.769006,0 days 00:38:18.417336,32,1000000,0.98,0.00011221439125677604,20000,-1.6956694829267491,big,0.08,4,PRUNED
91,91,146.55698420000002,2024-04-15 07:48:12.860757,2024-04-15 08:37:17.233354,0 days 00:49:04.372597,16,1000000,0.995,0.0021623955804974237,10000,-2.007055337886456,big,0.08,4,COMPLETE
92,92,120.1935066,2024-04-15 08:03:14.335204,2024-04-15 08:45:58.618861,0 days 00:42:44.283657,128,1000000,0.9,1.0790947521790609e-05,20000,0.5215120369774744,big,0.005,64,PRUNED
93,93,132.8750054,2024-04-15 08:17:30.593269,2024-04-15 09:01:34.295468,0 days 00:44:03.702199,16,1000000,0.95,1.8983827158112543e-05,10000,-0.4104579717025056,big,0.01,4,PRUNED
94,94,95.77998170000001,2024-04-15 08:25:37.770003,2024-04-15 09:17:34.206986,0 days 00:51:56.436983,32,1000000,0.9999,9.060435044387676e-05,0,0.0820449494439267,big,0.005,64,PRUNED
95,95,93.80441259999999,2024-04-15 08:27:30.475416,2024-04-15 09:18:21.739960,0 days 00:50:51.264544,32,10000,0.9999,4.758099848850937e-05,0,0.3198605970545306,big,0.005,64,PRUNED
96,96,86.2518795,2024-04-15 08:30:21.076503,2024-04-15 09:25:00.074546,0 days 00:54:38.998043,128,1000000,0.999,0.0001336268686361969,0,0.27232419710153255,big,0.005,64,PRUNED
97,97,93.56657170000001,2024-04-15 08:37:17.234352,2024-04-15 09:23:51.093020,0 days 00:46:33.858668,32,1000000,0.9999,0.00024753955324752046,0,0.31369728539763997,big,0.005,64,PRUNED
98,98,187.0551763,2024-04-15 08:44:13.997610,2024-04-15 09:26:22.973056,0 days 00:42:08.975446,32,10000,0.9999,0.0002447432292946486,0,0.8881374739886176,big,0.005,64,COMPLETE
99,99,127.1155589,2024-04-15 08:45:58.619858,2024-04-15 09:26:12.457157,0 days 00:40:13.837299,32,1000000,0.9999,0.00010666189349599792,0,0.087243275090441,big,0.005,64,PRUNED
